gene	32152253_EXO_S33	180913-190529_Brain_S36	32151859_EXO_S28	32150292_EXO_S9	32152341_EXO_S35	32151226_EXO_S21	32150013_EXO_S3	32150698_EXO_S12	32151984_EXO_S30	32152084_EXO_S31	32150243_EXO_S8	32151180_EXO_S20	32141643_EXO_S1	32141786_EXO_S2	32150076_EXO_S4	32150849_EXO_S15	32151444_EXO_S22	32150163_EXO_S7	32151565_EXO_S23	32151026_EXO_S17	32150825_EXO_S13	32152273_EXO_S34	32151691_EXO_S25	32150844_EXO_S14	32150424_EXO_S10	32152094_EXO_S32	32151125_EXO_S18	32150080_EXO_S5	32151765_EXO_S27	32151881_EXO_S29	32150696_EXO_S11	32151725_EXO_S26	32150993_EXO_S16	32150147_EXO_S6	32151667_EXO_S24	32151152_EXO_S19
hsa-miR-3936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6510717617806552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.689451701481619	0.0	0.0	0.0	0.0
hsa-miR-3935	0.0	0.0	0.0	0.0	24.26410437724443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4733-5p	4.624591109069439	0.0	0.0	0.0	13.86520250128253	0.0	0.0	0.0	0.0	0.6510717617806552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.510298861141711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	10.790712587828693	2.010227305538834	0.0	0.0	3.4663006253206325	0.0	0.0	0.0	0.0	3.255358808903276	0.0	0.0	0.0	0.0	29.872409666711768	0.0	0.0	0.0	40.88474590130422	0.0	0.0	3.1700996203805705	93.37358772448567	0.0	0.0	15.108821285307428	0.0	0.0	0.0	0.0	0.0	1.3447258507408095	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	3.0830607393796265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.451607607701508	0.6510717617806552	691.8500069185001	1546.2778882261985	0.0	0.0	1.757200568630104	0.0	0.9063496134872073	57.840245242639824	10.221186475326055	0.0	0.0	6.340199240761141	124.4981169659809	0.0	0.0	22.663231927961142	0.0	0.0	0.0	0.0	0.5493910823938288	2.689451701481619	0.0	1.0805168760528288	60.26758809112459	0.0
hsa-miR-506-3p	1.5415303696898133	1.4619834949373338	10.85601205947854	0.0	0.0	0.0	0.0	0.0	0.0	16.27679404451638	0.0	0.0	0.0	0.0	10.543203411780624	0.0	0.0	0.0	0.0	9.816466435292554	0.0	0.0	0.0	0.0	0.0	15.108821285307428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.979124413954665	0.0	0.0
hsa-miR-4423-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.328402443110072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3059-5p	0.0	20.833264802857006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.449303768950916	0.0	0.0
hsa-miR-671-5p	10.790712587828693	28.691426088145178	12.40687092511833	0.0	3.4663006253206325	0.0	32.34292121264392	0.0	7.817202535900502	3.255358808903276	0.0	0.0	0.0	0.0	8.78600284315052	0.0	0.0	17.79699853619687	30.663559425978164	0.0	147.54151760821787	11.095348671331998	155.62264620747612	0.0	0.0	37.77205321326857	0.0	14.48805025614873	347.08316646642635	10.897653326576789	14.284168142239547	9.413080955185666	8.707160769016438	16.20775314079243	0.0	14.353929627467679
hsa-miR-3157-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.449249634049218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.80276427337378	0.0
hsa-miR-449b-3p	0.0	0.0	0.0	0.0	3.4663006253206325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.663231927961142	0.0	0.0	0.0	0.0	7.691475153513603	0.0	0.0	0.0	80.35678412149946	0.0
hsa-miR-4776-5p	3.0830607393796265	0.0	0.0	0.0	0.0	0.0	97.02876363793177	0.0	3.908601267950251	0.6510717617806552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.76949180260844	0.0	0.0	0.0	31.124529241495225	0.0	0.0	0.0	0.0	0.0	0.0	2.724413331644197	0.0	8.068355104444857	0.0	0.0	0.0	0.0
hsa-miR-6855-5p	21.581425175657387	0.18274793686716673	0.0	0.0	17.331503126603163	0.0	0.0	0.0	11.725803803850754	0.6510717617806552	968.5900096859001	0.0	0.0	349.77595432115106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.925249050951426	280.120763173457	0.0	0.0	60.43528514122971	0.0	0.0	400.4805766920304	6.811033329110493	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-361-3p	581.1569493730595	507.30827274325486	511.7834256611311	54.337982249592464	537.2765969246981	0.0	517.4867394023028	245.8720716551189	383.0429242591246	374.36626302387674	553.4800055348001	55.2242102937928	199.72682524547074	425.40318768788643	564.0613825302634	189.9335232668566	394.2620818669352	235.8102306046085	459.9533913896725	439.7776963011064	134.12865237110717	381.99700425585877	124.4981169659809	0.0	2006.8557182923028	475.92787048718395	492.2377887163953	399.8701870697049	240.28834601521825	459.06364638204724	517.5263996149868	484.1013062666914	313.4577876845918	449.49502043797673	462.05150869862183	542.7152440099685
