gene	180919-190527_Brain_S35	32160466_EXO_S13	32160120_EXO_S8	32160246_EXO_S10	32170365_EXO_S26	32170367_EXO_S27	32152451_EXO_S5	32161246_EXO_S18	32170368_EXO_S28	32170400_EXO_S30	32160472_EXO_S14	32160241_EXO_S9	32152359_EXO_S1	32161415_EXO_S22	32161252_EXO_S19	32170381_EXO_S29	32152366_EXO_S2	32150043_EXO_S34	32170453_EXO_S31	32170276_EXO_S24	32152381_EXO_S3	32161367_EXO_S21	32160457_EXO_S12	32152446_EXO_S4	32160782_EXO_S17	32160083_EXO_S7	32170613_EXO_S32	32160323_EXO_S11	32170644_EXO_S33	32160600_EXO_S15	32161358_EXO_S20	32160028_EXO_S6	32160766_EXO_S16	32170346_EXO_S25	32170068_EXO_S23
hsa-miR-3936	0.6400773008554698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.162631752025215	0.0	0.0	0.0	2.9066176417157767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3935	0.0	4.451945973409639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4733-5p	0.8321004911121106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1067768122605837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.51139671944898	0.0	0.0
hsa-miR-6812-5p	0.7680927610265637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.491744448584734	0.0	0.0	0.0	7.224464099573757	0.6212044408663068	0.9443646456318886	4.359926462573665	0.0	0.0	19.33226361474665	3.515995140894715	25.966382190524	0.0	3.1453959267122746	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	0.0	0.27824662333810246	0.0	48.536108754647856	0.33804946136889075	0.49261035210802745	29.700267188172898	32.2756153115519	74.562643494254	5.131863225581312	0.0	0.0	0.0	0.0	2.036415176180459	0.0	0.0	0.0	0.0	0.0	2.0641325998782163	0.0	0.9443646456318886	0.0	0.0	11.45409770345341	0.0	0.0	51.932764381048	0.0	3.1453959267122746	0.0	0.0	0.0	0.0
hsa-miR-6766-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1067768122605837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.35853226467245	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-506-3p	0.0	0.0	0.0	0.0	0.0	21.67485549275321	9.138543750207045	0.0	24.85421449808467	128.29658063953278	0.0	0.0	0.0	0.0	0.0	72.64168761168659	6.491744448584734	0.0	0.0	1.135263205097786	5.16033149969554	1.2424088817326135	0.0	14.533088208578883	4.139257880733079	2.290819540690682	0.0	3.515995140894715	0.0	5.607219856286955	9.436187780136825	0.0	0.0	23.59909851443675	0.0
hsa-miR-4423-3p	1.0881314114542986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1067768122605837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.491744448584734	0.0	0.0	0.0	1.0320662999391081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3059-5p	40.900939524664516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.074430554072576	0.0	0.0	48.125118042742365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.770307153449778	0.0	0.0	0.0	0.0	21.239188662993076	0.0
hsa-miR-671-5p	40.644908604322325	1.1129864933524098	38.25591292954218	4.220531196056336	22.98736337308457	28.078790070157567	3.426953906327642	9.221604374729116	142.91173336398685	107.76912773720754	52.48556646922097	14.790164540580513	23.969789349133055	1.199420440043371	26.473397290345964	0.0	3.8950466691508407	0.0	0.0	6.433158162220787	8.256530399512865	9.318066612994603	14.165469684478328	31.972794058873543	22.351992555958628	22.90819540690682	0.0	7.03199028178943	0.0	16.26093758323217	3.1453959267122746	0.0	0.0	23.59909851443675	128.58770790193634
