gene	32160009_EXO_S30	32152260_EXO_S26	32152408_EXO_S29	32160078_EXO_S32	32150179_EXO_S2	32160080_EXO_S33	32150313_EXO_S5	32151181_EXO_S16	32151178_EXO_S15	32152087_EXO_S24	32151988_EXO_S22	32160019_EXO_S31	32152030_EXO_S23	32151021_EXO_S13	32150156_EXO_S1	32151970_EXO_S21	32151029_EXO_S14	32150829_EXO_S9	32150792_EXO_S8	181003-190524_Brain_S35	32151754_EXO_S20	32150309_EXO_S4	32160185_EXO_S34	32151018_EXO_S12	32151480_EXO_S17	32150697_EXO_S7	32152351_EXO_S28	32150318_EXO_S6	32152200_EXO_S25	32150274_EXO_S3	32151489_EXO_S18	32150882_EXO_S11	32151625_EXO_S19	32150835_EXO_S10	32152348_EXO_S27
hsa-miR-3936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8845197544219353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.0	0.0	39.039117195429824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22639001203489303	0.0	0.0	2.008527736173029	0.0	0.0	0.0	0.0	0.3640197094831502	3.9583255308647387	2.1104838284176646	0.0	0.0	202.09164856262316	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	10.178790454330311	1.6032488234157696	0.0	201.13439800474677	2.5122992751388513	2.817386656534808	13.013039065143275	3.5380790176877412	0.6290882875084455	18.255670667701153	0.7033246507905193	4.261593665567176	21.12958776174277	0.0	5.5148376707531614	10.522365287418408	0.0	3.632816686253603	1.5741379626981775	0.5513605550278904	15.68653880007274	2.7743252840909087	0.0	0.0	14.92480808880916	0.0	4.220967656835329	2.28399672018071	3.179860544035981	0.0	2.7065357425110155	1.5757510817531175	0.6568526314994336	4.113643515766567	0.0
hsa-miR-6766-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1104838284176646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-506-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.960677789797418	0.0	0.0	3.5166232539525963	0.0	0.0	0.0	0.0	0.0	6.79170036104679	0.0	4.9847702152108955	2.0479106329607357	17.429487555636378	0.0	0.0	0.0	0.0	0.0	0.0	2.28399672018071	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.636637916758183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.561981960993903	0.0	10.104582428131158	0.0	0.0	0.0	2.0568217578832835	0.0
hsa-miR-6502-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039382896787706456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	0.0	0.0	189.5914304673429	120.68063880284807	45.84946177128404	0.0	0.0	9.729717298641289	5.347250443821787	0.0	4.571610230138376	5.6821248874229004	52.82396940435692	0.0	44.11870136602529	0.0	10.866720577674865	21.796900117521616	4.46005756097817	26.386540847763328	73.20384773367279	46.238754734848484	0.0	0.0	10.556571575011356	0.0	2.1104838284176646	0.0	0.0	151.56873642196737	11.728321550881068	31.51502163506235	1.3137052629988673	0.0	0.0
hsa-miR-3157-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.433211864664771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4776-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.564793880871385	0.0	0.0	0.0	0.0	0.0	5.771839196559984	0.0	0.0	15.721176609848484	0.0	0.0	0.0	0.0	0.0	1.141998360090355	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-449b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.274934880928894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.738682852482686	0.0
hsa-miR-6855-5p	0.0	0.0	0.0	0.0	0.0	9.659611393833625	169.16950784686256	0.0	5.66179458757601	0.0	0.0	0.0	0.0	0.0	0.0	133.28329364063316	0.0	1.8164083431268014	0.2623563271163629	0.0	0.0	0.0	44.22488091800447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
