gene	32160965_EXO_S9	32160622_EXO_S5	32161245_EXO_S17	32170434_EXO_S28	32160340_EXO_S2	32161045_EXO_S12	32170383_EXO_S25	32170272_EXO_S24	32160628_EXO_S6	32161104_EXO_S15	32161237_EXO_S16	32170016_EXO_S20	181004-190521_Brain_S35	32161013_EXO_S11	32170385_EXO_S26	32150161_EXO_S32	32160612_EXO_S4	32161253_EXO_S18	32170268_EXO_S22	32170269_EXO_S23	32150116_EXO_S31	32161004_EXO_S10	32161392_EXO_S19	32160765_EXO_S8	32170450_EXO_S29	32160373_EXO_S3	32160284_EXO_S1	32170409_EXO_S27	32170083_EXO_S21	32161065_EXO_S14	32150978_EXO_S34	32161046_EXO_S13	32160670_EXO_S7	32170652_EXO_S30	32150704_EXO_S33
hsa-miR-3936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	16.0	0.0	2.0	8.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	8.0	0.0	1.0	7.0	17.0	3.0	7.0	6.0	23.0	8.0	13.0	16.0	0.0	6.0	7.0	19.0	2.0	5.0	1.0	0.0	4.0	2.0	0.0	27.0
hsa-miR-6766-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-506-3p	0.0	40.0	0.0	7.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	660.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
hsa-miR-4423-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	3.0	2.0	41.0	33.0	7.0	36.0	8.0	31.0	0.0	0.0	42.0	33.0	785.0	34.0	5.0	25.0	5.0	27.0	12.0	0.0	38.0	1.0	1.0	0.0	5.0	6.0	37.0	13.0	8.0	1.0	0.0	11.0	0.0	30.0	12.0
hsa-miR-3157-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4776-5p	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-449b-3p	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6855-5p	5.0	0.0	0.0	2.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	5.0	21.0	0.0	0.0	12.0	0.0	0.0	0.0	15.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-361-3p	354.0	617.0	728.0	600.0	374.0	885.0	450.0	1571.0	272.0	286.0	775.0	1035.0	14086.0	475.0	395.0	263.0	55.0	1142.0	111.0	176.0	1021.0	1116.0	126.0	116.0	961.0	28.0	167.0	88.0	382.0	644.0	1.0	36.0	22.0	1108.0	549.0
hsa-miR-3622a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	20.0
hsa-miR-484	175.0	515.0	454.0	702.0	290.0	551.0	337.0	833.0	287.0	211.0	695.0	1081.0	5136.0	336.0	240.0	131.0	92.0	687.0	85.0	112.0	738.0	409.0	108.0	84.0	499.0	20.0	55.0	57.0	305.0	405.0	36.0	56.0	0.0	1274.0	493.0
hsa-miR-5589-5p	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-30b-3p	8.0	152.0	59.0	24.0	43.0	42.0	20.0	38.0	1.0	1.0	11.0	47.0	269.0	28.0	9.0	63.0	28.0	39.0	3.0	0.0	85.0	50.0	6.0	1.0	57.0	0.0	0.0	21.0	10.0	17.0	0.0	6.0	0.0	183.0	0.0
hsa-miR-3929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1301-3p	68.0	199.0	171.0	115.0	28.0	188.0	66.0	155.0	40.0	13.0	61.0	271.0	17484.0	116.0	41.0	72.0	26.0	164.0	8.0	14.0	193.0	79.0	21.0	11.0	145.0	0.0	98.0	14.0	33.0	22.0	0.0	23.0	0.0	141.0	150.0
