gene	32160965_EXO_S9	32160622_EXO_S5	32161245_EXO_S17	32170434_EXO_S28	32160340_EXO_S2	32161045_EXO_S12	32170383_EXO_S25	32170272_EXO_S24	32160628_EXO_S6	32161104_EXO_S15	32161237_EXO_S16	32170016_EXO_S20	181004-190521_Brain_S35	32161013_EXO_S11	32170385_EXO_S26	32150161_EXO_S32	32160612_EXO_S4	32161253_EXO_S18	32170268_EXO_S22	32170269_EXO_S23	32150116_EXO_S31	32161004_EXO_S10	32161392_EXO_S19	32160765_EXO_S8	32170450_EXO_S29	32160373_EXO_S3	32160284_EXO_S1	32170409_EXO_S27	32170083_EXO_S21	32161065_EXO_S14	32150978_EXO_S34	32161046_EXO_S13	32160670_EXO_S7	32170652_EXO_S30	32150704_EXO_S33
hsa-miR-3936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1822601859104143	0.0	9.17115671214032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5531299521748707	0.0	1.1122678696955945	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1122678696955945	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	1.2756094543070315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.778552544896094	0.0	0.0	0.0	3.578137579389928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	20.409751268912505	0.0	1.4531704910481065	3.6475666399026467	1.3066515095091564	0.777871727396409	1.9008732611761843	0.38831271910545173	1.232817604635394	2.3083546279047757	0.935096364018053	2.933476095836664	0.0	0.691303334916418	10.699682830830373	24.045057609129202	7.414565667100831	3.2452374980702423	20.23663370343888	98.39067085326101	2.5729983761164	5.861342283452709	71.27964787853948	0.0	3.144247049779195	73.0772844481099	67.50946909132254	10.987199912102401	5.561339348477973	0.8521662064969151	0.0	21.19418643466097	45.9675009768094	0.0	11.121381226119922
hsa-miR-6766-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41726830090955797	0.691303334916418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5240411749631992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23485888269174582	0.0
hsa-miR-506-3p	0.0	16.121121207858884	0.0	3.191620809914816	0.0	2.333615182189227	0.0	1.553250876421807	0.0	0.0	0.0	6.233636703652912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25137357910185	0.0	0.0	0.0	3.6682882247423945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.757742123067933	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.949756550025686	0.0	0.7642630593450266	0.7072075767390942	0.0	0.0	0.0	0.0	0.0	0.0	4.454977992408717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.791279651991456	0.0	0.0	0.0
hsa-miR-4423-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4675481820090265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	3.8268283629210944	0.8060560603929443	29.78999506648618	15.046212389598418	4.573280283282047	14.001691093135362	7.603493044704737	12.037694292269004	0.0	0.0	19.637023644379113	12.10058889532624	27.296301351166917	23.504313387158213	7.642630593450266	35.36037883695471	12.357609445168052	12.517344635413792	40.47326740687776	0.0	12.2217422865529	0.45087248334251606	4.454977992408717	0.0	2.620205874815996	62.63767238409421	131.4658082304702	71.41679942866561	8.898142957564756	0.8521662064969151	0.0	58.28401269531767	0.0	7.045766480752374	4.942836100497743
hsa-miR-3157-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.15625273223469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0480823499263985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4776-5p	0.0	0.0	0.7265852455240532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.23663370343888	0.0	0.0	0.45087248334251606	0.0	0.0	0.0	0.0	0.0	5.4935999560512006	0.0	0.8521662064969151	0.0	0.0	0.0	0.0	0.0
hsa-miR-449b-3p	0.0	0.0	0.0	3.191620809914816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37277228390648	0.0	0.0	0.0	0.0	0.0	3.144247049779195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6855-5p	6.3780472715351575	0.0	0.0	0.9118916599756617	0.0	0.0	0.0	5.4363780674763245	0.0	0.0	0.0	1.833422559897915	0.7302195265917264	0.0	0.0	16.97298184173826	0.0	0.0	0.0	64.16782881734413	0.0	0.0	49.00475791649589	0.0	0.0	0.0	0.0	49.4423996044608	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-361-3p	451.56574682468914	248.66829463122332	528.9540587415107	273.5674979926985	244.34383227821226	344.20823937291095	427.69648376464147	610.0392817146646	335.3263884608272	660.1894235807658	362.34984105699556	379.51846989886843	489.8034405510028	328.36908408529854	603.7678168825711	371.9911853647635	135.93370389684856	529.4373175423167	374.3777235136193	752.9025247901712	328.3789177518555	503.17369141024795	561.3272270434984	415.06395920923165	503.60356913963443	292.3091377924396	593.3727020132034	483.43679613250566	424.8863262237171	548.7950369840133	15.595757953836557	190.74767791194876	505.64251074490335	260.2236420224544	226.13475159777175
hsa-miR-3622a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5383821638664776	0.0	0.0	0.0	0.0	3.70884285493742	0.0	0.0	0.0	0.0	0.0	0.0	2.620205874815996	0.0	3.5531299521748707	0.0	0.0	0.0	0.0	0.0	22.9837504884047	0.0	8.23806016749624
hsa-miR-484	223.2316545037305	207.55943555118316	329.86970146792015	320.07397265145727	189.4644688788277	214.30366089771067	320.29714450818705	323.4644950148413	353.8186525303581	487.06282648790767	324.9459864962734	396.38595744992926	178.5908327892908	232.27792053191646	366.84626848561277	185.28838510564267	227.38001379109215	318.49688016775093	286.6856441320508	479.11978850283623	237.3591001967379	184.40684568708906	481.1376231801415	300.56355666875396	261.4965463066364	208.79224128031402	195.42214736961787	313.13519749491843	339.24170025715637	345.1273136312506	561.4472863381161	296.7186100852536	0.0	299.21021654928416	203.0681831287823
hsa-miR-5589-5p	0.0	0.0	0.0	0.0	0.0	5.056166228076658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.716370574668793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-30b-3p	10.204875634456252	61.26026058986376	42.86852948591914	10.94269991970794	28.093007454446862	16.335306275324587	19.008732611761843	14.755883326007167	1.232817604635394	2.3083546279047757	5.143030002099292	17.2341720630404	9.353764412055924	19.356493377659703	13.75673506821048	89.10815466912587	69.20261289294109	18.080608917819923	10.11831685171944	0.0	27.338107746236748	22.543624167125802	26.729867954452306	3.578137579389928	29.870346972902354	0.0	0.0	115.3655990770752	11.122678696955946	14.486825510447556	0.0	31.791279651991456	0.0	42.97917553258949	0.0
hsa-miR-3929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5531299521748707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1301-3p	86.74144289287814	80.20257800909795	124.24607698461311	52.43377044860055	18.29312113312819	73.11994237526244	62.72881761881408	60.18847146134502	49.31270418541577	30.008610162762086	28.520439102550615	99.371502746467	607.959914425226	80.19118685030449	62.66957086629218	101.83789105042955	64.25956911487387	76.03127852621711	26.98217827125184	59.88997356285453	62.073585823808145	35.61892618405877	93.55453784058307	39.359513373289204	75.98597036966389	0.0	348.2067353131373	76.91039938471681	36.70483969995462	18.74765654293213	0.0	121.86657199930059	0.0	33.11510245953616	61.7854512562218
hsa-miR-3926	0.0	0.0	0.0	0.45594582998783084	0.0	5.445102091774863	13.306112828233289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0480823499263985	0.0	0.0	0.0	0.0	0.0	0.0	5.298546608665243	0.0	0.0	0.0
hsa-miR-6715b-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1122678696955945	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-8485	11.480485088763283	0.0	0.0	0.0	0.0	0.0	9.504366305880922	0.0	0.0	0.0	0.0	0.0	0.5215853761369474	0.0	0.0	0.0	0.0	0.0	0.0	38.500697290406485	3.8594975641745997	0.0	0.0	7.156275158779856	0.5240411749631992	0.0	0.0	0.0	6.673607218173568	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3923	0.0	0.40302803019647215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.366684511979583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-7161-5p	0.0	0.40302803019647215	0.0	0.0	0.0	0.0	0.9504366305880921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4636053568671775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-629-5p	76.53656725842188	22.16654166080597	28.336824575438076	25.077020649330695	0.0	22.947215958194064	40.86877511528796	27.958515775592524	0.0	32.31696479066686	25.24760182848743	31.53486803024414	36.75438283845023	30.417346736322393	25.984944017730903	41.01803945086746	22.243697001302493	24.10747855709323	0.0	0.0	43.7409723939788	50.4977181343618	13.364933977226153	0.0	28.822264622975958	135.7149568322041	3.5531299521748707	0.0	47.82751839691056	7.669495858472236	374.2981908920774	158.9563982599573	22.9837504884047	63.881616092154864	4.942836100497743
hsa-miR-5006-3p	0.0	0.0	0.0	0.0	0.0	0.0	5.702619783528553	0.0	0.0	0.0	9.818511822189556	0.0	0.7997642434099861	0.0	0.0	0.0	0.0	0.0	3.37277228390648	0.0	0.0	0.0	0.0	0.0	1.5721235248895975	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.386956313429511	0.0
hsa-miR-1298-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.32503288161142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-493-3p	0.0	0.0	0.0	5.015404129866139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.859731783413411	0.0	4.58557835607016	12.729736381303693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0898262606567	0.0	0.0	0.0
hsa-miR-4520-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4868130177278176	0.0	0.0	0.0	0.0	2.781632141203065	0.0	12.833565763468828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11742944134587291	0.0
