gene	32170378_EXO_S26	32161454_EXO_S20	32160526_EXO_S15	32152086_EXO_S7	32151130_EXO_S2	32151185_EXO_S4	32170440_EXO_S27	32152175_EXO_S9	32152337_EXO_S10	32151033_EXO_S1	32170273_EXO_S23	181023-190319_Brain_S29	32152088_EXO_S8	32151825_EXO_S6	32151151_EXO_S3	32170329_EXO_S24	32170337_EXO_S25	32160079_EXO_S13	32152347_EXO_S11	32160791_EXO_S16	32161000_EXO_S17	32160288_EXO_S14	32170032_EXO_S21	32170447_EXO_S28	32160018_EXO_S12	32170073_EXO_S22	32161249_EXO_S19	32151764_EXO_S5	32161037_EXO_S18
hsa-miR-6812-5p	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-4687-5p	0.0	0.0	0.0	0.0	0.0	13.0	2.0	2.0	0.0	0.0	3.0	0.0	2.0	1.0	0.0	35.0	0.0	1.0	1.0	2.0	0.0	0.0	3.0	2.0	34.0	2.0	0.0	0.0	0.0
hsa-miR-506-3p	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4423-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	894.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	0.0	0.0	0.0	0.0	0.0	61.0	0.0	70.0	0.0	0.0	0.0	853.0	0.0	19.5	0.0	38.0	59.5	0.0	1.0	1.0	0.0	24.0	46.0	0.0	0.0	28.0	0.0	0.0	0.0
hsa-miR-4776-5p	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6855-5p	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	26.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
hsa-miR-361-3p	200.0	668.0	34.0	477.0	159.0	136.0	1232.0	610.0	522.0	626.0	977.0	12449.0	427.0	263.0	508.0	1215.0	1246.0	121.0	173.0	83.0	595.0	1373.0	94.0	378.0	0.0	699.0	593.0	106.0	1.0
hsa-miR-3622a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	6.0	0.0	0.0	0.0	0.0	0.0	31.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-484	129.0	238.0	0.0	139.0	78.0	68.0	399.0	273.0	467.0	234.0	332.0	3608.0	409.0	47.0	328.0	951.0	1148.0	46.0	29.0	138.0	201.0	872.0	0.0	324.0	0.0	438.0	172.0	222.0	0.0
hsa-miR-5589-5p	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-30b-3p	21.0	63.0	2.0	0.0	0.0	44.0	46.0	1.0	207.0	162.0	59.0	311.0	0.0	0.0	0.0	133.0	208.0	12.0	1.0	0.0	207.0	69.0	36.0	94.0	29.0	95.0	49.0	0.0	22.0
hsa-miR-1301-3p	160.0	96.0	0.0	176.0	91.0	86.0	328.0	43.0	74.0	91.0	383.0	13623.0	136.0	185.0	0.0	314.0	474.0	0.0	0.0	31.0	209.0	304.0	20.0	58.0	0.0	190.0	18.0	0.0	0.0
hsa-miR-3926	0.0	0.0	0.0	46.0	0.0	0.0	0.0	1.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-8485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	10.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-7161-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
hsa-miR-2114-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3920	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-629-5p	0.0	40.0	0.0	72.0	32.0	35.0	37.0	94.0	31.0	39.0	101.0	956.0	86.0	0.0	0.0	139.0	78.0	0.0	0.0	0.0	87.0	116.0	54.0	0.0	0.0	0.0	0.0	27.0	0.0
hsa-miR-5006-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-493-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-1298-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1073.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-548c-3p	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-218-2-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0
hsa-miR-122-5p	0.0	86.0	52.0	0.0	0.0	0.0	0.0	0.0	117.0	0.0	22.0	74.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	72.0	0.0	57.0	1139.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-582-3p	0.0	0.0	0.0	39.0	49.0	0.0	70.0	0.0	0.0	0.0	47.0	1102.0	0.0	0.0	0.0	70.0	114.0	29.0	0.0	0.0	0.0	95.0	25.0	14.0	0.0	0.0	29.0	0.0	0.0
hsa-miR-3918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3917	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3916	0.0	0.0	0.0	1.0	0.0	0.0	44.0	0.0	0.0	114.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	20.0	80.0	0.0	0.0	50.0	3.0	0.0	0.0
hsa-miR-3914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
