gene	32170378_EXO_S26	32161454_EXO_S20	32160526_EXO_S15	32152086_EXO_S7	32151130_EXO_S2	32151185_EXO_S4	32170440_EXO_S27	32152175_EXO_S9	32152337_EXO_S10	32151033_EXO_S1	32170273_EXO_S23	181023-190319_Brain_S29	32152088_EXO_S8	32151825_EXO_S6	32151151_EXO_S3	32170329_EXO_S24	32170337_EXO_S25	32160079_EXO_S13	32152347_EXO_S11	32160791_EXO_S16	32161000_EXO_S17	32160288_EXO_S14	32170032_EXO_S21	32170447_EXO_S28	32160018_EXO_S12	32170073_EXO_S22	32161249_EXO_S19	32151764_EXO_S5	32161037_EXO_S18
hsa-miR-6812-5p	0.0	0.48883190195205245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3376879093899903	0.0	0.0	0.0	0.18683263383195228	0.0	1.9912544106285197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1708134929230178	0.0
hsa-miR-4687-5p	0.0	0.0	0.0	0.0	0.0	10.866712251131391	0.4560078925846049	1.0370862026051606	0.0	0.0	1.0753331830256507	0.0	0.7270020181576023	0.9846745256822811	0.0	6.5391421841183295	0.0	1.9912544106285197	2.6771324698688743	7.493078268949058	0.0	0.0	6.777302362567604	0.8503495361768456	186.29218285125665	0.6160476722330681	0.0	0.0	0.0
hsa-miR-506-3p	0.0	0.0	0.0	35.882101665954714	0.0	0.0	0.0	0.0	0.0	0.0	25.449551998273733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4423-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4288242398153796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3059-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.26054083597789	0.0	0.0	0.0	1.307828436823666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-671-5p	0.0	0.0	0.0	0.0	0.0	50.98995748607807	0.0	36.29801709118062	0.0	0.0	0.0	32.68930797884691	0.0	19.20115325080448	0.0	7.099640085614187	8.102567887603357	0.0	2.6771324698688743	3.746539134474529	0.0	5.129961153369167	103.9186362260366	0.0	0.0	8.624667411262953	0.0	0.0	0.0
hsa-miR-4776-5p	0.0	0.0	0.0	0.0	0.8781890337022606	0.0	0.0	0.0	0.0	0.5396121160187634	0.0	0.0	0.0	0.0	0.0	0.9341631691597614	0.0	0.0	2.6771324698688743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6855-5p	0.0	0.0	0.0	0.0	51.81315298843337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.682674972696372	4.857648479630759	0.0	0.0	82.9911065659351	0.0	0.0	0.0	0.0	0.0	0.0	3.0802383611653403	0.0	0.0	0.0
hsa-miR-361-3p	229.59555594841905	326.53971050397104	572.7183909982144	407.5181546347714	139.63205635865944	113.68252816568224	280.9008618321166	316.31129179457395	163.92608629295287	337.7971846277459	350.20017327202027	477.07994727862274	155.2149308766481	258.9694002544399	213.88194895294683	227.00165010582202	169.67730399922323	240.94178368605088	463.1439172873152	310.9627481613859	277.3639331790662	293.4765276489944	212.35547402711825	160.7160623374238	0.0	215.3086614454573	283.33010824356836	124.1062302498399	22.4799928064023
hsa-miR-3622a-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.20883972410913	1.1209958029917135	0.0	0.0	0.0	0.0	0.0	6.62619982310184	2.2591007875225344	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-484	148.0891335867303	116.34199266458847	0.0	118.75266979923109	68.49874462877632	56.84126408284112	90.97357457062867	141.56226665560442	146.65418064905936	126.26923514839064	119.00353892150535	138.268491427526	148.6719127132297	46.27970270706721	138.0970064105641	177.6778347741866	156.33189806670006	91.5977028889119	77.63684162619735	517.022400557485	93.69773204872655	186.38858857241306	0.0	137.75662486064897	0.0	134.91444021904192	82.18006512292371	259.92059542890996	0.0
